level,game_id,away_team,home_team,team,player_name,prediction,value,home_win_probability,away_win_probability,projected_home_score,projected_away_score,likely_score,lineup_source,batting_order,polymarket_status,polymarket_market_id,polymarket_slug,polymarket_question,polymarket_url,polymarket_game_start_time,polymarket_fetched_at,polymarket_away_probability,polymarket_home_probability,polymarket_favorite,home_probability_edge,away_probability_edge,polymarket_volume,polymarket_liquidity,polymarket_total_status,polymarket_total_markets,market_premium_status,expected_market_home_premium_logit,expected_market_home_premium_points,synthetic_market_home_probability,synthetic_market_away_probability,synthetic_market_favorite,home_premium_adjusted_edge,away_premium_adjusted_edge,home_model_vs_synthetic_edge,away_model_vs_synthetic_edge,home_signal_edge,away_signal_edge,home_signal_score,away_signal_score,best_signal_team,best_signal_edge,best_signal_probability,best_signal_score,market_informed_status,market_informed_model_kind,base_home_win_probability,base_away_win_probability,market_informed_home_probability,market_informed_away_probability,market_informed_favorite,market_informed_home_delta,market_informed_away_delta,home_market_informed_edge,away_market_informed_edge
game,73e944ec-453d-5c36-8a02-543b5dc7f8b7,TEX,NYA,NYA,,winner,NYA,0.6218,0.3782,4.2,4.01,4-5,probable_roster,,matched,2125002,mlb-tex-nyy-2026-05-06,Texas Rangers vs. New York Yankees,https://polymarket.com/event/mlb-tex-nyy-2026-05-06,2026-05-06 23:05:00+00,2026-05-06T08:16:02.848577+00:00,0.365,0.635,NYA,-0.0132,0.0132,1334.374463,36793.9882,matched,"[{""line"": 8.5, ""liquidity"": 10146.5212, ""market_id"": ""2168000"", ""over_probability"": 0.525, ""question"": ""Texas Rangers vs. New York Yankees: O/U 8.5"", ""slug"": ""mlb-tex-nyy-2026-05-06-total-8pt5"", ""under_probability"": 0.475, ""url"": ""https://polymarket.com/event/mlb-tex-nyy-2026-05-06-total-8pt5"", ""volume"": 10.04}]",estimated,0.0436,0.0102,0.632,0.368,NYA,-0.003,0.003,-0.0102,0.0102,0.0176,-0.0176,26.8446,0.0,NYA,0.0176,0.6526,26.8446,estimated,logistic,0.6218,0.3782,0.6526,0.3474,NYA,0.0308,-0.0308,0.0176,-0.0176
game,f0df3fc5-c3dd-5a72-bc2a-51020d06fa5b,CIN,CHN,CHN,,winner,CHN,0.528,0.472,4.55,4.34,4-5,probable_roster,,matched,2125004,mlb-cin-chc-2026-05-06,Cincinnati Reds vs. Chicago Cubs,https://polymarket.com/event/mlb-cin-chc-2026-05-06,2026-05-06 23:40:00+00,2026-05-06T08:16:02.848577+00:00,0.395,0.605,CHN,-0.077,0.077,5519.362061999999,23157.518,matched,"[{""line"": 8.5, ""liquidity"": 2192.0286, ""market_id"": ""2168002"", ""over_probability"": 0.465, ""question"": ""Cincinnati Reds vs. Chicago Cubs: O/U 8.5"", ""slug"": ""mlb-cin-chc-2026-05-06-total-8pt5"", ""under_probability"": 0.535, ""url"": ""https://polymarket.com/event/mlb-cin-chc-2026-05-06-total-8pt5"", ""volume"": 2944.9739369999998}]",estimated,0.1663,0.0411,0.5691,0.4309,CHN,-0.0359,0.0359,-0.0411,0.0411,-0.0208,0.0208,0.0,0.0,CHN,-0.0208,0.5842,0.0,estimated,logistic,0.528,0.472,0.5842,0.4158,CHN,0.0562,-0.0562,-0.0208,0.0208
game,9fff125c-218e-53b9-b39f-b29d8097a8cd,CLE,KCA,KCA,,winner,KCA,0.5963,0.4037,4.01,4.26,4-5,probable_roster,,matched,2125007,mlb-cle-kc-2026-05-06,Cleveland Guardians vs. Kansas City Royals,https://polymarket.com/event/mlb-cle-kc-2026-05-06,2026-05-06 23:40:00+00,2026-05-06T08:16:02.848577+00:00,0.455,0.545,KCA,0.0513,-0.0513,3050.7651530000003,36997.9306,matched,"[{""line"": 7.5, ""liquidity"": 8448.2201, ""market_id"": ""2168004"", ""over_probability"": 0.535, ""question"": ""Cleveland Guardians vs. Kansas City Royals: O/U 7.5"", ""slug"": ""mlb-cle-kc-2026-05-06-total-7pt5"", ""under_probability"": 0.465, ""url"": ""https://polymarket.com/event/mlb-cle-kc-2026-05-06-total-7pt5"", ""volume"": 761.326009}, {""line"": 8.5, ""liquidity"": 7471.5028, ""market_id"": ""2170650"", ""over_probability"": 0.455, ""question"": ""Cleveland Guardians vs. Kansas City Royals: O/U 8.5"", ""slug"": ""mlb-cle-kc-2026-05-06-total-8pt5"", ""under_probability"": 0.545, ""url"": ""https://polymarket.com/event/mlb-cle-kc-2026-05-06-total-8pt5"", ""volume"": 1552.745479}]",estimated,-0.1463,-0.0357,0.5606,0.4394,KCA,0.0156,-0.0156,0.0357,-0.0357,-0.0267,0.0267,0.0,0.0,KCA,-0.0267,0.5183,0.0,estimated,logistic,0.5963,0.4037,0.5183,0.4817,KCA,-0.078,0.078,-0.0267,0.0267
game,ee9d0150-358b-55f6-a6a7-efdf3a7f4c93,NYN,COL,NYN,,winner,NYN,0.3867,0.6133,4.49,5.6,6-4,probable_roster,,matched,2124965,mlb-nym-col-2026-05-06,New York Mets vs. Colorado Rockies,https://polymarket.com/event/mlb-nym-col-2026-05-06,2026-05-06 19:10:00+00,2026-05-06T08:16:02.848577+00:00,0.585,0.415,NYN,-0.0283,0.0283,4574.224914,13368.8762,matched,"[{""line"": 9.5, ""liquidity"": 2001.1099, ""market_id"": ""2170806"", ""over_probability"": 0.5, ""question"": ""New York Mets vs. Colorado Rockies: O/U 9.5"", ""slug"": ""mlb-nym-col-2026-05-06-total-9pt5"", ""under_probability"": 0.5, ""url"": ""https://polymarket.com/event/mlb-nym-col-2026-05-06-total-9pt5"", ""volume"": 243.0}, {""line"": 10.5, ""liquidity"": 962.9517, ""market_id"": ""2169733"", ""over_probability"": 0.36, ""question"": ""New York Mets vs. Colorado Rockies: O/U 10.5"", ""slug"": ""mlb-nym-col-2026-05-06-total-10pt5"", ""under_probability"": 0.64, ""url"": ""https://polymarket.com/event/mlb-nym-col-2026-05-06-total-10pt5"", ""volume"": 1071.68267}]",estimated,-0.0788,-0.0185,0.3682,0.6318,NYN,-0.0468,0.0468,0.0185,-0.0185,-0.0468,0.0468,0.0,61.764,NYN,0.0468,0.6318,61.764,estimated,logistic,0.3867,0.6133,0.3682,0.6318,NYN,-0.0185,0.0185,-0.0468,0.0468
game,ba546146-a9a6-50fe-8a55-4b1c03ae96aa,PIT,ARI,PIT,,winner,PIT,0.492,0.508,3.94,4.73,5-4,probable_roster,,matched,2125009,mlb-pit-ari-2026-05-06,Pittsburgh Pirates vs. Arizona Diamondbacks,https://polymarket.com/event/mlb-pit-ari-2026-05-06,2026-05-07 01:40:00+00,2026-05-06T08:16:02.848577+00:00,0.575,0.425,PIT,0.067,-0.067,3205.0940589999996,34906.5152,no_match,,estimated,-0.0092,-0.0023,0.4897,0.5103,PIT,0.0647,-0.0647,0.0023,-0.0023,0.0801,-0.0801,4.0999,0.0,ARI,0.0801,0.5051,4.0999,estimated,logistic,0.492,0.508,0.5051,0.4949,ARI,0.0131,-0.0131,0.0801,-0.0801
pitcher,7bf80cf5-ed98-57e7-ac2b-61bee3332fa5,,,TBA,Shane McClanahan,strikeouts,5.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pitcher,7bf80cf5-ed98-57e7-ac2b-61bee3332fa5,,,TBA,Shane McClanahan,walks,1.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pitcher,7bf80cf5-ed98-57e7-ac2b-61bee3332fa5,,,TOR,Patrick Corbin,strikeouts,4.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pitcher,7bf80cf5-ed98-57e7-ac2b-61bee3332fa5,,,TOR,Patrick Corbin,walks,1.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pitcher,13835c6d-ce91-53dd-af45-c8b31d34f817,,,SLN,Andre Pallante,strikeouts,4.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
